Ship By,WO #,Combo #,Customer,Part,Description,Operation Sequence,Formula (Text),Operation Name,Manufacturing Work Center,Manufacturing Cost Template,Remaining Quantity,Completed Quantity,WO Quantity,Qty Completed,Status,1 to 1 Initiating Order,Machine,Hours Remaining
6/25/2026,12110521969WO,,Taylor Corporation,EQ90907-6-1732,SUMA D-GREAZEE,4,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,15,,15,0,Released,Sales Order #13658036DM,,2
6/25/2026,12110521970WO,,Taylor Corporation,TAG90677 PERF-1732,CLAX DEOSOFT BREEZE CONC,3,Die Cut,diemr-diecut-KISSCUT-,Die Cut,520-diecut,37,,37,0,Released,Sales Order #13658036DM,,.5
6/8/2026,12110521971WO,,Taylor Corporation,TAG90687 PERF-1732,CLAX SUPER LAUNCH,3,Die Cut,diemr-diecut-KISSCUT-,Die Cut,520-diecut,36,,36,0,In Process,Sales Order #13658036DM,,.5
6/25/2026,12110521972WO,,Taylor Corporation,EQ90721-6-1732,SUMA FINAL STEP 1024 SANITIZER,4,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,84,,84,0,In Process,Sales Order #13658036DM,,2.2
6/29/2026,12110522128WO,,Kwik Trip,KT on! 2607 PLUS 5.25x7.25 wobbler-1600,"5.25x7.25,0.010wrv,4/0,tapeFRONT,diecut,pkginkits",4,Die Cut,diemr-diecut-,Die Cut,520-diecut,1100,,1100,0,Released,,,1.2
6/23/2026,12110522146WO,000290CO,Toro Company,116-8724-1700,Control Panel Lazer Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2200,,2200,0,In Process,,,.4
6/23/2026,12110522147WO,000290CO,Toro Company,125-2497-RevA-1700,HOC Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,4400,,4400,0,In Process,,,.7
6/23/2026,12110522148WO,000290CO,Toro Company,130-0731-RevA-1700,"Deflector Danger, (CE) Decal RevA",5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,6600,,6600,0,In Process,,,1
6/23/2026,12110522149WO,000290CO,Toro Company,130-9670-1700,"Warning, Deck Decal RevA",5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,4400,,4400,0,In Process,,,.7
6/23/2026,12110522150WO,000290CO,Toro Company,132-0871-RevB-1700,Danger Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,3300,,3300,0,In Process,,,.6
6/23/2026,12110522151WO,000290CO,Toro Company,139-2391-RevA-1700,Panel Control Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,1100,,1100,0,In Process,,,.3
6/23/2026,12110522152WO,000290CO,Toro Company,146-5441-1700,Radius Logo Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,5500,,5500,0,In Process,,,.9
6/23/2026,12110522153WO,000290CO,Toro Company,146-6123-1700,Lazer Logo Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2200,,2200,0,In Process,,,.4
6/29/2026,12110522181WO,,Toro Company,99-8936-1700,"Motion Control, (SYM) Decal RevB",5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,9240,,9240,0,Released,,,.9
7/21/2026,12110522185WO,,Toro Company,126-2055-1700,Wheel Hub [Rider] Decal RevC,6,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,7800,,7800,0,Released,,,2.7
6/23/2026,12110522234WO,,Seats,502119Rev03-1675,"WASHER, 4M - 1-5/8 O.D. - 1/2 I.D., PLASTIC",2,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,1697,,1697,0,Released,,,1.2
6/23/2026,12110522237WO,,Seats,702489Rev02-1675,RIDE ADJUST DECAL,5,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,2049,,2049,0,Released,,,1.2
6/30/2026,12110522469WO,,"Endries International, Inc.",50986-1548,"DECAL, CAUTION, KP HNDS OUT",5,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,315,,315,0,Released,Sales Order #13658122DM,,.5
6/30/2026,12110522470WO,,"Endries International, Inc.",89919-1548,"DECAL, WARNING, STAND",5,Die Cut,"Die cutting setup., Die Thru Cut",Die Cut,520-diecut,389,,389,0,Released,Sales Order #13658122DM,,.5
6/9/2026,12110522660WO,,Ridge Tool Company : Emerson Electric Co: Emerson Professional Tools Mfg LLC,52092233-1318,"Tag, Printed (FTXS-100W)",3,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,840,,840,0,Released,Sales Order #13654759DM,,18.2
6/30/2026,12110522704WO,,Toro Company,147-2866-1700,HOC Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,12600,,12600,0,Released,,,4.5
7/7/2026,12110522708WO,,Toro Company,147-2867-1700,HOC Decal RevA,5,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,6500,,6500,0,Released,,,2.1
6/25/2026,12110522757WO,,Tarter USA,4000831-Rev1-1259,Tarter 17.5x2.85 label,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,2092,,2092,0,Released,,,1.3
6/4/2026,12110522910WO,,Genie Industries : Terex Global GmbH - Rancho Cucamonga,1283812GT-1001,1283812GT-1002 DECAL Smart Link Rev B TRX1283812 SAP#: 1000247144,7,Die Cut,diemr-diecut-,Die Cut,520-diecut,144,,144,0,Released,Sales Order #13656662DM,,1.1
6/30/2026,12110522928WO,000297CO,Toro Company,115-4858-1700,Danger Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2940,,2940,0,Released,,,.3
6/30/2026,12110522929WO,000297CO,Toro Company,125-4967-1700,Lift Here Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2520,,2520,0,Released,,,.3
6/30/2026,12110522930WO,000297CO,Toro Company,125-8483-1700,Hydraulic Fluid Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,840,,840,0,Released,,,.2
6/30/2026,12110522931WO,000297CO,Toro Company,133-0218-1700,Load Capacity Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,420,,420,0,Released,,,.2
6/30/2026,12110522932WO,000297CO,Toro Company,139-1158-1700,"Warning, Crushing Decal RevB",5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,3360,,3360,0,Released,,,.4
6/30/2026,12110522933WO,000297CO,Toro Company,140-2500-1700,Hitch Rating Decal RevB,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,420,,420,0,Released,,,.2
6/30/2026,12110522934WO,000297CO,Toro Company,140-5280-1700,"Tire Pressure, Torque Decal RevA",5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,840,,840,0,Released,,,.2
6/30/2026,12110522935WO,000297CO,Toro Company,144-2293-1700,"Cargo Bed Safety, Crew Decal RevA",5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,420,,420,0,Released,,,.2
6/30/2026,12110522936WO,000297CO,Toro Company,144-2629-1700,E-Z VAC Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,420,,420,0,Released,,,.2
6/30/2026,12110522937WO,000297CO,Toro Company,147-7574-1700,MYRIDE [POD] Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,5880,,5880,0,Released,,,.5
6/30/2026,12110522938WO,000297CO,Toro Company,163-5925-1700,Fuel Fill Decal RevA,5,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,5880,,5880,0,Released,,,.5
6/9/2026,12110522944WO,,Toro Company : The Toro Company,146-7417-1700,QZE722GEE50200 Hangtag RevA,3,Die Cut,Die Make Ready - Die Cut,Die Cut,520-diecut,128,,128,0,In Process,,,.2
6/25/2026,12110522982WO,000299CO,Toro Company,105-7015-1700,"Belt Routing, Time Cutter Z-Series Rev-",4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,7200,,7200,0,Released,,,.6
6/25/2026,12110522984WO,000299CO,Toro Company,112-9840-RevC-1700,Anti-Scalp (CE) Decal RevC,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,4800,,4800,0,Released,,,.5
6/25/2026,12110522985WO,000299CO,Toro Company,115-8199-1700,Rops Decal RevA,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2400,,2400,0,Released,,,.3
6/25/2026,12110522987WO,000299CO,Toro Company,120-9811-1700,"Recoil, LC180 Decal RevA",4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,4800,,4800,0,Released,,,.5
6/25/2026,12110522989WO,000299CO,Toro Company,121-6821-1700,Logo Decal RevA,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,7200,,7200,0,Released,,,.6
6/25/2026,12110522991WO,000299CO,Toro Company,136-8698-1700,Model 824 OE Decal RevA,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,4800,,4800,0,Released,,,.5
6/25/2026,12110522993WO,000299CO,Toro Company,137-2333-1700,Power Edge Decal RevA,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2400,,2400,0,Released,,,.3
6/25/2026,12110522994WO,000299CO,Toro Company,139-3521-1700,"Commercial Engne, 252CC Decal RevA",4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,3600,,3600,0,Released,,,.4
6/25/2026,12110522996WO,000299CO,Toro Company,139-3523-1700,Consumer Engine 252CC Decal RevA,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,7200,,7200,0,Released,,,.6
6/25/2026,12110522998WO,000299CO,Toro Company,163-3145-1700,"Compliance, ROPS Decal RevA",4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,1200,,1200,0,Released,,,.2
6/25/2026,12110523000WO,000299CO,Toro Company,70-2200-1700,TORO Decal RevE,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,1200,,1200,0,Released,,,.2
6/25/2026,12110523002WO,000299CO,Toro Company,98-3206-RevC-1700,Toro Logo Decal RevC,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,6000,,6000,0,Released,,,.5
6/25/2026,12110523003WO,000299CO,Toro Company,99-3388-RevB-1700,Sidewinder Decal RevB,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,2400,,2400,0,Released,,,.3
6/25/2026,12110523005WO,000299CO,Toro Company,99-3943-1700,Belt Routing Decal RevB,4,Die Cut,Die Make Ready - Final Inspect Combo Die - Die Cut,Die Cut,520-diecut,7200,,7200,0,Released,,,.6
7/7/2026,12110522958WO,,Toro Company,147-7643-1700,Iron Forged 50 Decal RevA,4,Die Cut,"Die cutting setup, Die Thru Cut",Die Cut,520-diecut,4800,,4800,0,Released,,,1
6/25/2026,12110523069WO,,Taylor Corporation,EQ90634 6up-1732,GLANCE HC 1,4,Die Cut,"Die cutting setup, Die Kiss Cut",Die Cut,520-diecut,52,,52,0,Released,Sales Order #13658036DM,,2.1
7/6/2026,12110523103WO,,"Metalcraft of Mayville, WI, Inc.",487175-02-1610,"A-DECAL, ROPS SERIAL NO - SPZ Rev01",8,Die Cut,"Die cutting setup, Die Thru Cut , Die Kiss Cut",Die Cut,520-diecut,1050,,1050,0,Released,Sales Order #13656172DM,,.6
